,Q,A
153,This means that all of Sam's files are infected by either a virus or a worm or both. ,
154,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
155,125 files are infected by both a virus and a worm. ,
156,19st data,
157,1_th_sampling,
158,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
159,A, Let's think step by step. 
160,Jack can clean a yacht in 12 hours. ,
161,"On a particular day, he happens to finish two-thirds of the work. ",
162,That means he finishes 8 hours of work. ,
163,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
164,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
165,It will take her 8/0.6=13.3 hours to finish the work. ,
166,20st data,
167,1_th_sampling,
168,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
169,A, Let's think step by step. 
170,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
171,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
172,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
173,21st data,
174,1_th_sampling,
175,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
176,A, Let's think step by step. 
177,"First, we know that 10% of the staplers were defective. ",
178,"That means that for every 10 staplers, 1 was defective. ",
179,We also know that 2% of the non-defective staplers were rejected by mistake. ,
180,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
181,We're told that 72 of the non-defective staplers were rejected. ,
182,That means that there were 72 more staplers rejected than there were defective stapl ,
183,"Therefore, among A through E, the answer is D. ",
184,"There were 4,800 staplers produced that day.",
185,22st data,
186,1_th_sampling,
187,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
188,"The first train, M, will take 4 hours to reach City B. ",
189,"The second train, N, will take 3.5 hours to reach City A. ",
190,"Therefore, the two trains will cross one another at 8",30 am. 
191,23st data,
192,1_th_sampling,
193,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
194,A, The first ant casts a shadow that is 10 inches long. 
195,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
196,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
197,24st data,
198,1_th_sampling,
199,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
200,A, Let's think step by step. 
201,The store had 600 golf balls in stock. ,
202,80% of 600 golf balls is 480 golf balls. ,
203,That means that the store sold 480 golf balls in total. ,
204,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
205,That means that it had 360 yellow golf balls to begin the day. ,
206,25st data,
207,1_th_sampling,
208,Q, 900 + 5 × 12 = ? 
209,A, Let's think step by step. 
210,900 + 5 × 12 = ,
211,900 + 5 × (10 + 2) = ,
212,900 + 5 × 10 + 5 × 2 = ,
213,900 + 50 + 10 = ,
214,960 ,
215,26st data,
216,1_th_sampling,
217,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
218,A, Let's think step by step. 
219,"Arjun and Sajal are friends, each has some money. ",
220,We can set up two equations to solve for the amount of money each person has. ,
221,Arjun + Sajal = x ,
222,2(x - 30) = 3(x - 10) ,
223,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
224,x = 100 ,
225,Arjun + Sajal = 100 ,
226,Arjun = 100 - Sajal ,
227,Now we can plug this value of ,
228,Arjun = 60 ,
229,Sajal = 40,
230,27st data,
231,1_th_sampling,
232,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
233,A, Let's think step by step. 
234,We know that 27 bottles cost A cents. ,
235,We want to know how much B bottles will cost in dollars. ,
236,We can set up a proportion, 
237,We can cross multiply to solve for x, 
238,27x = AB ,
239,x = AB/27 ,
240,"Since we want the answer in dollars, we will divide AB by 2700", 
241,x = AB/2700 ,
242,"Therefore, the answer is (A). ",
243,28st data,
244,1_th_sampling,
245,A, Let's think step by step. 
246,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
247,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
248,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
249,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
250,12 pm - The dog eats 1/3 of the food in the bowl ,
251,"Therefore, among A through E, the answer is closest to D, 35%. ",
252,29st data,
253,1_th_sampling,
254,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
255,A, Let's think step by step. 
256,The hotel pays $210 per week for newspapers. ,
257,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
258,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
259,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
260,$8 + $1 = $9 ,
261,$9 x 7 = $63 ,
262,30st data,
263,1_th_sampling,
264,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
265,A, Let's think step by step. 
266,We know that the probability that stock A will increase in value is 0.56. ,
267,We also know that the probability that stock B will increase in value is 0.74. ,
268,We want to find the greatest value for the probability that neither of these two events will occur. ,
269,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
270,We can use the AND rule for probability to help us solve this problem. ,
271,The AND rule for probability states that the probability of two events occurring ,
272,"Therefore, among A through E, the answer is D. ",
273,P(A AND B) = P(A) * P(B),
274,P(A AND B) = 0.,
275,31st data,
276,1_th_sampling,
277,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
278,A, Let's think step by step. 
279,There are 10 oranges in the basket. ,
280,You want to choose 2 oranges. ,
281,How many ways can you choose the first orange? ,
282,There are 10 ways. ,
283,How many ways can you choose the second orange? ,
284,There are 9 ways. ,
285,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
286,Answer, (B) 90 
287,32st data,
288,1_th_sampling,
289,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
290,A, Let's think step by step. 
291,There are 20 white marbles in the bag. ,
292,"We pull them out, paint them black, and put them back in. ",
293,"Now, the bag has 20 black marbles and 20 white marbles. ",
294,"We pull out 20 marbles again, and this time 1 of them is black. ",
295,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
296,"Now, we want to know how many marbles are in the bag in total. ",
297,We can set up the following equation, 
298,(% black marbles pulled out ,
299,"Therefore, among A through E, the answer is D. ",
300,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
301,A, Let's think step by step. 
302,There are more than 501 students in the school. ,
303,20% of them exactly took physics. ,
304,28% of them exactly took math. ,
305,We can write this as, 
306,There are more than 501 students in the school. ,
307,There are more than 100 students who took physics. ,
308,There are more than 140 students who took math. ,
309,We want to find the least possible number of students in the school. ,
310,The least possible number of students in the school is 241. ,
311,2st data,
312,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
313,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
314,We can write this out as, 
315,-50 + (-49) + ... + k = 51 ,
316,We can solve this equation for k, 
317,k = 102 ,
318,3st data,
319,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
320,A, Let's think step by step. 
321,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
322,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
323,4st data,
324,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
325,A, Let's think step by step. 
326,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
327,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
328,"Now, we need to calculate the total amount of interest that accrues over the life ",
329,5st data,
330,1_th_sampling,
331,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
332,A, Let's think step by step. 
333,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
334,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
335,There are 5 registered voters in total. ,
336,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
337,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
338,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
339,6st data,
340,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
341,A, Let's think step by step. 
342,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
343,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
344,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
345,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
346,"Therefore, the answer is 26. ",
347,7st data,
348,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
349,A, Let's think step by step. 
350,The cost of new tires is $180 per tire. ,
351,The cost of repairing the current tires is $40 per tire. ,
352,The difference in cost is $180 - $40 = $140. ,
353,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
354,$140/$40 = 3.5 ,
355,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
356,8st data,
357,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
358,A, Let's think step by step. 
359,Anna is able to buy 5 more articles for $300. ,
360,That means that the 5 articles cost $60 each. ,
361,The price of each article decreased by 15%. ,
362,That means that the original price of each article was $70. ,
363,$70 - $60 = $10 ,
364,The new selling price of each article is $10. ,
365,9st data,
366,A, Let's think step by step. 
367,The first car will travel 15 miles in 15/55 hours. ,
368,The second car will travel 15 miles in 15/52 hours. ,
369,Now we need to compare the two times. ,
370,15/55 = 0.2727272727272727 ,
371,15/52 = 0.28846153846153846 ,
372,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
373,10st data,
374,1_th_sampling,
375,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
376,A, Let's think step by step. 
377,The grocery sells a bag of ice for $1.25. ,
378,This means that the grocery buys the bag of ice for $1. ,
379,The grocery makes 20% profit. ,
380,This means that the grocery's profit is $0.20. ,
381,The grocery sells 500 bags of ice. ,
382,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
383,11st data,
384,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
385,A, Let's think step by step. 
386,The car is currently travelling at 60 km/hr. ,
387,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
388,"Therefore, the car would need to gain 300 km/hr. ",
389,12st data,
390,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
391,A, Let's think step by step. 
392,There are 10 different types of books. ,
393,That means we need at least 10 different codes. ,
394,The codes can be either a single letter or a pair of two different letters. ,
395,That means the maximum number of codes we would need is 20. ,
396,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
397,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
398,The minimum number of codes we could use is 3. ,
399,13st data,
400,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
401,A, Let's think step by step. 
402,Q is as much younger than R as he is older than T. ,
403,Q is younger than R by x years. ,
404,Q is older than T by x years. ,
405,Now we have two equations and two unknowns. We can solve for x. ,
406,R + T = 50 ,
407,R - Q = x ,
408,T - Q = x ,
409,R + T = 50 ,
410,R - T = -x ,
411,2T = 50 - x ,
412,T = 25 - (1/2)x ,
413,14st data,
414,A, Let's think step by step. 
415,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
416,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
417,2/5sp = h ,
418,"We also know that the width is 50 cm, so we can set up another equation", 
419,w = 50 ,
420,15st data,
421,1_th_sampling,
422,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
423,A, Let's think step by step. 
424,"C's share is 150,000. ",
425,"The total profit is 375,000. ",
426,"That means B's share is 375,000 - 150,000 = 225,000. ",
427,"Now we know that B's share is 60,000 more than A's share. ",
428,"That means A's share is 225,000 - 60,000 = 165,000. ",
429,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
430,That means the total profit is 165% of ,
431,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
432,16st data,
433,1_th_sampling,
434,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
435,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
436,17st data,
437,1_th_sampling,
438,A, Let's think step by step. 
439,The athlete runs M miles in 4 hours. ,
440,That's an average speed of M/4 miles per hour. ,
441,The athlete rides a bike N miles in the same number of hours. ,
442,That's an average speed of N/4 miles per hour. ,
443,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
444,(M/4) + (N/4) = (M + N)/8,
445,18st data,
446,1_th_sampling,
447,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
448,A, Let's think step by step. 
449,There are a total of 250 files. ,
450,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
451,This means that the number of files that are infected only by a worm is 125. ,
452,125 + 125 = 250 ,
453,This means that all of Sam's files are infected by either a virus or a worm or both. ,
454,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
455,125 files are infected by both a virus and a worm. ,
456,19st data,
457,1_th_sampling,
458,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
459,A, Let's think step by step. 
460,Jack can clean a yacht in 12 hours. ,
461,"On a particular day, he happens to finish two-thirds of the work. ",
462,That means he finishes 8 hours of work. ,
463,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
464,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
465,It will take her 8/0.6=13.3 hours to finish the work. ,
466,20st data,
467,1_th_sampling,
468,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
469,A, Let's think step by step. 
470,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
471,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
472,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
473,21st data,
474,1_th_sampling,
475,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
476,A, Let's think step by step. 
477,"First, we know that 10% of the staplers were defective. ",
478,"That means that for every 10 staplers, 1 was defective. ",
479,We also know that 2% of the non-defective staplers were rejected by mistake. ,
480,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
481,We're told that 72 of the non-defective staplers were rejected. ,
482,That means that there were 72 more staplers rejected than there were defective stapl ,
483,"Therefore, among A through E, the answer is D. ",
484,"There were 4,800 staplers produced that day.",
485,22st data,
486,1_th_sampling,
487,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
488,"The first train, M, will take 4 hours to reach City B. ",
489,"The second train, N, will take 3.5 hours to reach City A. ",
490,"Therefore, the two trains will cross one another at 8",30 am. 
491,23st data,
492,1_th_sampling,
493,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
494,A, The first ant casts a shadow that is 10 inches long. 
495,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
496,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
497,24st data,
498,1_th_sampling,
499,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
500,A, Let's think step by step. 
501,The store had 600 golf balls in stock. ,
502,80% of 600 golf balls is 480 golf balls. ,
503,That means that the store sold 480 golf balls in total. ,
504,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
505,That means that it had 360 yellow golf balls to begin the day. ,
506,25st data,
507,1_th_sampling,
508,Q, 900 + 5 × 12 = ? 
509,A, Let's think step by step. 
510,900 + 5 × 12 = ,
511,900 + 5 × (10 + 2) = ,
512,900 + 5 × 10 + 5 × 2 = ,
513,900 + 50 + 10 = ,
514,960 ,
515,26st data,
516,1_th_sampling,
